Dates,Cycle Yes/No,Step Count
2020-01-09,0,2856.0
2020-01-10,0,3764.0
2020-01-11,0,5915.0
2020-01-12,0,2454.0
2020-01-13,0,2035.0
2020-01-14,0,1931.0
2020-01-15,0,2395.0
2020-01-16,0,998.0
2020-01-17,0,6986.0
2020-01-18,0,6764.0
2020-01-19,0,6295.0
2020-01-20,0,11737.0
2020-01-21,0,7767.0
2020-01-22,1,10636.0
2020-01-23,1,25274.0
2020-01-24,1,15631.0
2020-01-25,1,8432.0
2020-01-26,1,6589.0
2020-01-27,1,2927.0
2020-01-28,0,9836.0
2020-01-29,0,10335.0
2020-01-30,0,6503.0
2020-01-31,0,4296.0
2020-02-01,0,2064.0
2020-02-02,0,4591.0
2020-02-03,0,3370.0
2020-02-04,0,1781.0
2020-02-05,0,1094.0
2020-02-06,0,8086.0
2020-02-07,0,3564.0
2020-02-08,0,5316.0
2020-02-09,0,2365.0
2020-02-10,0,2747.0
2020-02-11,0,3063.0
2020-02-12,0,2281.0
2020-02-13,0,2242.0
2020-02-14,0,3381.0
2020-02-15,0,8723.0
2020-02-16,0,3803.0
2020-02-17,1,1389.0
2020-02-18,1,1619.0
2020-02-19,1,3540.0
2020-02-20,1,2258.0
2020-02-21,1,4118.0
2020-02-22,0,6412.0
2020-02-23,0,672.0
2020-02-24,0,2288.0
2020-02-25,0,2119.0
2020-02-26,0,1721.0
2020-02-27,0,1869.0
2020-02-28,0,2712.0
2020-02-29,0,3690.0
2020-03-01,0,554.0
2020-03-02,0,2639.0
2020-03-03,0,5220.0
2020-03-04,0,2088.0
2020-03-05,0,2008.0
2020-03-06,0,1843.0
2020-03-07,0,6208.0
2020-03-08,0,4667.0
2020-03-09,0,2762.0
2020-03-10,0,1532.0
2020-03-11,0,1618.0
2020-03-12,1,5042.0
2020-03-13,1,6091.0
2020-03-14,1,3574.0
2020-03-15,1,1562.0
2020-03-16,1,601.0
2020-03-17,0,1053.0
2020-03-18,0,608.0
2020-03-19,0,2562.0
2020-03-20,0,249.0
2020-03-21,0,8418.0
2020-03-22,0,518.0
2020-03-23,0,478.0
2020-03-24,0,235.0
2020-03-25,0,1933.0
2020-03-26,0,7672.0
2020-03-27,0,4845.0
2020-03-28,0,490.0
2020-03-29,0,6322.0
2020-03-30,0,441.0
2020-03-31,0,533.0
2020-04-01,0,2070.0
2020-04-02,0,1976.0
2020-04-03,0,371.0
2020-04-04,0,574.0
2020-04-05,0,385.0
2020-04-06,1,432.0
2020-04-07,1,320.0
2020-04-08,1,764.0
2020-04-09,1,3384.0
2020-04-10,0,747.0
2020-04-11,0,592.0
2020-04-12,0,428.0
2020-04-13,0,4578.0
2020-04-14,0,1673.0
2020-04-15,0,575.0
2020-04-16,0,580.0
2020-04-17,0,830.0
2020-04-18,0,399.0
2020-04-19,0,617.0
2020-04-20,0,1762.0
2020-04-21,0,474.0
2020-04-22,0,721.0
2020-04-23,0,484.0
2020-04-24,0,427.0
2020-04-25,0,4301.0
2020-04-26,0,3206.0
2020-04-27,0,966.0
2020-04-28,0,489.0
2020-04-29,1,650.0
2020-04-30,1,775.0
