Dates,Step Count
9.01.2020,2856
10.01.2020,3764
11.01.2020,5915
12.01.2020,2454
13.01.2020,2035
14.01.2020,1931
15.01.2020,2395
16.01.2020,998
17.01.2020,6986
18.01.2020,6764
19.01.2020,6295
20.01.2020,11737
21.01.2020,7767
22.01.2020,10636
23.01.2020,25274
24.01.2020,15631
25.01.2020,8432
26.01.2020,6589
27.01.2020,2927
28.01.2020,9836
29.01.2020,10335
30.01.2020,6503
31.01.2020,4296
1.02.2020,2064
2.02.2020,4591
3.02.2020,3370
4.02.2020,1781
5.02.2020,1094
6.02.2020,8086
7.02.2020,3564
8.02.2020,5316
9.02.2020,2365
10.02.2020,2747
11.02.2020,3063
12.02.2020,2281
13.02.2020,2242
14.02.2020,3381
15.02.2020,8723
16.02.2020,3803
17.02.2020,1389
18.02.2020,1619
19.02.2020,3540
20.02.2020,2258
21.02.2020,4118
22.02.2020,6412
23.02.2020,672
24.02.2020,2288
25.02.2020,2119
26.02.2020,1721
27.02.2020,1869
28.02.2020,2712
29.02.2020,3690
1.03.2020,554
2.03.2020,2639
3.03.2020,5220
4.03.2020,2088
5.03.2020,2008
6.03.2020,1843
7.03.2020,6208
8.03.2020,4667
9.03.2020,2762
10.03.2020,1532
11.03.2020,1618
12.03.2020,5042
13.03.2020,6091
14.03.2020,3574
15.03.2020,1562
16.03.2020,601
17.03.2020,1053
18.03.2020,608
19.03.2020,2562
20.03.2020,249
21.03.2020,8418
22.03.2020,518
23.03.2020,478
24.03.2020,235
25.03.2020,1933
26.03.2020,7672
27.03.2020,4845
28.03.2020,490
29.03.2020,6322
30.03.2020,441
31.03.2020,533
1.04.2020,2070
2.04.2020,1976
3.04.2020,371
4.04.2020,574
5.04.2020,385
6.04.2020,432
7.04.2020,320
8.04.2020,764
9.04.2020,3384
10.04.2020,747
11.04.2020,592
12.04.2020,428
13.04.2020,4578
14.04.2020,1673
15.04.2020,575
16.04.2020,580
17.04.2020,830
18.04.2020,399
19.04.2020,617
20.04.2020,1762
21.04.2020,474
22.04.2020,721
23.04.2020,484
24.04.2020,427
25.04.2020,4301
26.04.2020,3206
27.04.2020,966
28.04.2020,489
29.04.2020,650
30.04.2020,775
1.05.2020,3358
2.05.2020,392
3.05.2020,588
4.05.2020,426
5.05.2020,5554
6.05.2020,1763
7.05.2020,1138
8.05.2020,390
9.05.2020,537
10.05.2020,1431
11.05.2020,369.38
12.05.2020,319
13.05.2020,2737
14.05.2020,597
15.05.2020,3526
16.05.2020,1162
17.05.2020,694
18.05.2020,848
19.05.2020,2248
20.05.2020,1111
21.05.2020,3513
22.05.2020,5032
23.05.2020,628
24.05.2020,5694
25.05.2020,650
26.05.2020,595
27.05.2020,3976
28.05.2020,411
29.05.2020,6237
30.05.2020,2709
31.05.2020,637
1.06.2020,421
2.06.2020,1084
3.06.2020,6341
4.06.2020,1474
5.06.2020,8967
6.06.2020,5774
7.06.2020,954
8.06.2020,3728
9.06.2020,9536
10.06.2020,9132
11.06.2020,1822
12.06.2020,18303
13.06.2020,11954
14.06.2020,11697
15.06.2020,5013
16.06.2020,11840
17.06.2020,12990
18.06.2020,4839
19.06.2020,3603
20.06.2020,3048
21.06.2020,4280
22.06.2020,1970
23.06.2020,458
24.06.2020,3611
25.06.2020,2105
26.06.2020,12123
27.06.2020,905.58
28.06.2020,5388
29.06.2020,4621
30.06.2020,3710
1.07.2020,8118
2.07.2020,5745
3.07.2020,1436
4.07.2020,3689
5.07.2020,3440
6.07.2020,1799
7.07.2020,4005
8.07.2020,8702
9.07.2020,3688
10.07.2020,3603
11.07.2020,1869
12.07.2020,5266
13.07.2020,5601
14.07.2020,5725
15.07.2020,6135
16.07.2020,7623
17.07.2020,3651
18.07.2020,4455
19.07.2020,5614
20.07.2020,6007
21.07.2020,6539
22.07.2020,4333
23.07.2020,6721
24.07.2020,2215
25.07.2020,1043
26.07.2020,4840
27.07.2020,2803
28.07.2020,4001
29.07.2020,5143
30.07.2020,3517
31.07.2020,5017
1.08.2020,2208
